Month_abb;Year;Station;Coordinates;Group;Taxa;Biomass
Jan;2009;BY15;20.05000/57.33333;Copepoda;Acartia;6,650318700000000
Jan;2009;BY31;18.23333/58.58812;Copepoda;Acartia;1,816994100000000
Jan;2009;BY5;15.98333/55.25000;Copepoda;Acartia;5,562097450000000
Jan;2009;BY15;20.05000/57.33333;Copepoda;Centropages;5,738561499999999
Jan;2009;BY31;18.23333/58.58812;Copepoda;Centropages;1,228758600000000
Jan;2009;BY5;15.98333/55.25000;Copepoda;Centropages;14,405224000000000
Jan;2009;BY15;20.05000/57.33333;Copepoda;Pseudocalanus;10,522882000000001
Jan;2009;BY31;18.23333/58.58812;Copepoda;Pseudocalanus;5,633984000000000
Jan;2009;BY5;15.98333/55.25000;Copepoda;Pseudocalanus;21,594774999999998
Jan;2009;BY15;20.05000/57.33333;Copepoda;Temora;9,725488200000001
Jan;2009;BY31;18.23333/58.58812;Copepoda;Temora;4,993464899999999
Jan;2009;BY5;15.98333/55.25000;Copepoda;Temora;45,738529000000000
Jan;2009;BY15;20.05000/57.33333;Rotatoria;Synchaeta;0,392157000000000
Jan;2009;BY31;18.23333/58.58812;Rotatoria;Synchaeta;0,470589000000000
Jan;2009;BY5;15.98333/55.25000;Rotatoria;Synchaeta;0,392157000000000
Jan;2010;BY15;20.05000/57.33333;Copepoda;Acartia;2,467319350000000
Jan;2010;BY31;18.23333/58.58812;Copepoda;Acartia;2,248367000000000
Jan;2010;BY15;20.05000/57.33333;Copepoda;Centropages;0,307189350000000
Jan;2010;BY31;18.23333/58.58812;Copepoda;Centropages;0,385620750000000
Jan;2010;BY31;18.23333/58.58812;Copepoda;Eurytemora;0,084967350000000
Jan;2010;BY15;20.05000/57.33333;Copepoda;Pseudocalanus;13,601300999999999
Jan;2010;BY31;18.23333/58.58812;Copepoda;Pseudocalanus;2,660128000000000
Jan;2010;BY15;20.05000/57.33333;Copepoda;Temora;7,549020900000000
Jan;2010;BY31;18.23333/58.58812;Copepoda;Temora;8,418301000000000
Jan;2010;BY15;20.05000/57.33333;Rotatoria;Synchaeta;0,156862800000000
Jan;2010;BY31;18.23333/58.58812;Rotatoria;Synchaeta;0,411765000000000
Jan;2011;BY15;20.05000/57.33333;Copepoda;Acartia;5,065367000000000
Jan;2011;BY31;18.23333/58.58812;Copepoda;Acartia;6,065359200000000
Jan;2011;BY5;15.98333/55.25000;Copepoda;Acartia;9,620921700000000
Jan;2011;BY15;20.05000/57.33333;Copepoda;Centropages;2,980390800000000
Jan;2011;BY31;18.23333/58.58812;Copepoda;Centropages;0,705882000000000
Jan;2011;BY5;15.98333/55.25000;Copepoda;Centropages;1,869282300000000
Jan;2011;BY31;18.23333/58.58812;Copepoda;Eurytemora;1,607843200000000
Jan;2011;BY15;20.05000/57.33333;Copepoda;Pseudocalanus;49,660135000000004
Jan;2011;BY31;18.23333/58.58812;Copepoda;Pseudocalanus;3,307187250000000
Jan;2011;BY5;15.98333/55.25000;Copepoda;Pseudocalanus;3,777776999999999
Jan;2011;BY15;20.05000/57.33333;Copepoda;Temora;36,431384000000001
Jan;2011;BY31;18.23333/58.58812;Copepoda;Temora;17,241832500000001
Jan;2011;BY5;15.98333/55.25000;Copepoda;Temora;47,359510000000000
Jan;2011;BY31;18.23333/58.58812;Rotatoria;Keratella;0,019607850000000
Jan;2011;BY5;15.98333/55.25000;Rotatoria;Keratella;0,019607850000000
Jan;2011;BY15;20.05000/57.33333;Rotatoria;Synchaeta;0,549021000000000
Jan;2011;BY31;18.23333/58.58812;Rotatoria;Synchaeta;0,196078500000000
Jan;2011;BY5;15.98333/55.25000;Rotatoria;Synchaeta;0,666666000000000
Jan;2015;BY15;20.05000/57.33333;Copepoda;Acartia;4,720006300000000
Jan;2015;BY15;20.05000/57.33333;Copepoda;Centropages;3,539998750000001
Jan;2015;BY15;20.05000/57.33333;Copepoda;Pseudocalanus;15,020000000000000
Jan;2015;BY15;20.05000/57.33333;Copepoda;Temora;10,706664900000000
Jan;2015;BY15;20.05000/57.33333;Rotatoria;Keratella;0,010000005000000
Jan;2015;BY15;20.05000/57.33333;Rotatoria;Synchaeta;0,440001000000000
Jan;2016;BY15;20.05000/57.33333;Copepoda;Acartia;2,486667550000000
Jan;2016;BY31;18.23333/58.58812;Copepoda;Acartia;1,461666300000000
Jan;2016;BY5;15.98333/55.25000;Copepoda;Acartia;8,686665600000001
Jan;2016;BY15;20.05000/57.33333;Copepoda;Centropages;6,226659500000000
Jan;2016;BY31;18.23333/58.58812;Copepoda;Centropages;1,553333350000000
Jan;2016;BY5;15.98333/55.25000;Copepoda;Centropages;6,180007849999999
Jan;2016;BY31;18.23333/58.58812;Copepoda;Pseudocalanus;2,806665500000000
Jan;2016;BY5;15.98333/55.25000;Copepoda;Pseudocalanus;1,894999500000000
Jan;2016;BY15;20.05000/57.33333;Copepoda;Temora;17,653315299999999
Jan;2016;BY31;18.23333/58.58812;Copepoda;Temora;0,906667480000000
Jan;2016;BY5;15.98333/55.25000;Copepoda;Temora;17,879979100000000
Jan;2016;BY5;15.98333/55.25000;Rotatoria;Keratella;0,049999950000000
Jan;2016;BY15;20.05000/57.33333;Rotatoria;Synchaeta;0,920001000000000
Jan;2016;BY31;18.23333/58.58812;Rotatoria;Synchaeta;0,200000100000000
Jan;2016;BY5;15.98333/55.25000;Rotatoria;Synchaeta;0,819999000000000
