Month,Genus,Abundance
Dec,Centropages,-0.5515302354804241
Apr,Centropages,12.491677053395556
Feb,Centropages,18.414073083862846
Sep,Acartia,25.632234922739
Mar,Pseudocalanus,9.69802093663664
Jul,Temora,8.896606668801038
Jan,Pseudocalanus,9.631082437673737
Jun,Acartia,3.50857596683206
Jul,Pseudocalanus,13.295030546529548
May,Temora,13.298746548649762
Nov,Temora,27.08507953441478
Jul,Temora,12.966374902088626
Nov,Temora,19.697811301961394
Oct,Centropages,20.15964714345961
Jan,Temora,15.423806582228927
Jan,Temora,20.865195688680814
Nov,Pseudocalanus,15.613466736376015
Dec,Pseudocalanus,12.953952812367042
Sep,Acartia,12.489317057112439
Aug,Temora,30.73077554963346
Sep,Centropages,16.669812543458924
May,Temora,18.013975300196574
Jul,Temora,-0.9928269280433977
Jan,Temora,15.952935723981794
Jun,Temora,12.90246154775027
May,Temora,8.989760020173396
Aug,Temora,10.147815112190973
Jun,Temora,12.946054089191609
Jun,Centropages,9.371335747184556
Jun,Temora,23.28023857802479
Nov,Pseudocalanus,19.958412043076276
Jan,Pseudocalanus,15.318240357404317
Dec,Pseudocalanus,16.285530790268247
Aug,Acartia,2.7275540371204094
Apr,Centropages,3.1882887432691707
Sep,Temora,14.252087657477666
Sep,Acartia,22.936013324700767
Jul,Pseudocalanus,2.0546400340934703
Dec,Pseudocalanus,4.309481431493804
Mar,Pseudocalanus,3.8180978749312633
Mar,Pseudocalanus,7.109427490214998
Aug,Centropages,12.929943406443336
Nov,Pseudocalanus,9.753743702548514
Jan,Centropages,6.782700205413588
Apr,Pseudocalanus,17.939117850139578
Jul,Acartia,17.034592940445634
Feb,Acartia,9.231859383748649
May,Pseudocalanus,21.013845296949288
Aug,Acartia,6.86369283072215
Aug,Centropages,21.40407891900245
Aug,Pseudocalanus,9.00186471471174
Oct,Acartia,21.681421412297986
Jul,Pseudocalanus,10.019087053872777
Apr,Pseudocalanus,13.74741830738527
Mar,Acartia,14.997648683040378
Oct,Acartia,15.19663495057286
Nov,Temora,8.514892978195451
Apr,Acartia,5.709390637797385
Aug,Acartia,10.362883090427978
Apr,Temora,22.64119712873982
Apr,Pseudocalanus,15.706776438381143
Sep,Pseudocalanus,-0.6021163525263216
Jan,Acartia,11.580893902022575
Feb,Pseudocalanus,4.142627317021323
Nov,Pseudocalanus,18.54627939723582
Jun,Acartia,17.276050765248915
Apr,Pseudocalanus,18.32282782356103
Oct,Acartia,9.271126142424711
Oct,Temora,-3.416278702619861
Nov,Temora,3.898142553965794
May,Centropages,12.312115268173976
Mar,Acartia,3.8177803641369064
Jun,Acartia,0.06546019484085086
Apr,Centropages,8.081808682430278
Aug,Acartia,-2.1570058061903623
Aug,Pseudocalanus,0.8324719858449221
Apr,Acartia,14.277184199292169
Jul,Pseudocalanus,25.54103832296156
Aug,Acartia,11.123244789449828
Dec,Pseudocalanus,4.873345372585329
Jun,Centropages,7.268233701241781
Jul,Acartia,26.190609499230828
Feb,Pseudocalanus,11.603242531055647
Jun,Acartia,11.581329384170875
Apr,Centropages,11.081085499199267
Oct,Acartia,19.53787572435945
Sep,Pseudocalanus,-5.152871736100533
Jan,Temora,16.241760597723072
Dec,Pseudocalanus,14.513016020278025
Jun,Pseudocalanus,-1.3033499491044154
Mar,Centropages,23.392732250769534
Dec,Temora,31.448096140357052
Aug,Temora,1.893897138001961
Mar,Centropages,22.546989273086588
Jan,Pseudocalanus,22.734211085177847
Feb,Acartia,27.61860796398625
Aug,Acartia,7.75299088033116
Jan,Centropages,17.02404808691367
Feb,Centropages,5.951728724284463
Aug,Temora,17.214914945982635
