Month_abb	Year	Station	Coordinates	Taxa	Biomass
Jan	2012	BY15	20.05000/57.33333	Cyanobacteria	0.08276657
Jan	2012	BY5	15.98333/55.25000	Cyanobacteria	0.060332716
Jan	2012	BY15	20.05000/57.33333	Diatoms	0.11489908
Jan	2012	BY5	15.98333/55.25000	Diatoms	1.7210580899999999
Jan	2012	BY15	20.05000/57.33333	Dinoflagellates	1.1886147
Jan	2012	BY5	15.98333/55.25000	Dinoflagellates	0.71700957
Jan	2012	BY15	20.05000/57.33333	Mesodinium	1.3253712
Jan	2012	BY5	15.98333/55.25000	Mesodinium	2.31635
Jan	2012	BY15	20.05000/57.33333	Other	0.527463376
Jan	2012	BY5	15.98333/55.25000	Other	0.641097598
Mar	2012	BY15	20.05000/57.33333	Cyanobacteria	0.18034703
Mar	2012	BY15	20.05000/57.33333	Diatoms	0.147870454
Mar	2012	BY15	20.05000/57.33333	Dinoflagellates	3.2562992
Mar	2012	BY15	20.05000/57.33333	Mesodinium	6.256589
Mar	2012	BY15	20.05000/57.33333	Other	1.75955507
May	2012	BY5	15.98333/55.25000	Cyanobacteria	1.8120496
May	2012	BY5	15.98333/55.25000	Diatoms	11.5159571
May	2012	BY5	15.98333/55.25000	Dinoflagellates	5.4768668
May	2012	BY5	15.98333/55.25000	Mesodinium	79.291704
May	2012	BY5	15.98333/55.25000	Other	5.72563242
Jul	2012	BY15	20.05000/57.33333	Cyanobacteria	74.03596638
Jul	2012	BY5	15.98333/55.25000	Cyanobacteria	38.609565
Jul	2012	BY15	20.05000/57.33333	Diatoms	0.32978648
Jul	2012	BY5	15.98333/55.25000	Diatoms	0.8551237
Jul	2012	BY15	20.05000/57.33333	Dinoflagellates	13.4496114
Jul	2012	BY5	15.98333/55.25000	Dinoflagellates	6.9342288
Jul	2012	BY15	20.05000/57.33333	Mesodinium	7.569799
Jul	2012	BY5	15.98333/55.25000	Mesodinium	3.373231
Jul	2012	BY15	20.05000/57.33333	Other	13.3568363
Jul	2012	BY5	15.98333/55.25000	Other	25.5691394
Aug	2012	BY15	20.05000/57.33333	Cyanobacteria	11.09263493
Aug	2012	BY5	15.98333/55.25000	Cyanobacteria	1.90368066
Aug	2012	BY15	20.05000/57.33333	Diatoms	3.0238807
Aug	2012	BY5	15.98333/55.25000	Diatoms	0.259148297
Aug	2012	BY15	20.05000/57.33333	Dinoflagellates	5.775666
Aug	2012	BY5	15.98333/55.25000	Dinoflagellates	7.2339722
Aug	2012	BY15	20.05000/57.33333	Mesodinium	15.148769999999999
Aug	2012	BY5	15.98333/55.25000	Mesodinium	7.467019
Aug	2012	BY15	20.05000/57.33333	Other	26.99554929
Aug	2012	BY5	15.98333/55.25000	Other	19.9090332
Sep	2012	BY5	15.98333/55.25000	Cyanobacteria	1.701324571
Sep	2012	BY5	15.98333/55.25000	Diatoms	0.159735553
Sep	2012	BY5	15.98333/55.25000	Dinoflagellates	6.676477
Sep	2012	BY5	15.98333/55.25000	Mesodinium	3.9783609999999996
Sep	2012	BY5	15.98333/55.25000	Other	9.2501114
Oct	2012	BY5	15.98333/55.25000	Cyanobacteria	0.30426865999999997
Oct	2012	BY5	15.98333/55.25000	Diatoms	2.1431749
Oct	2012	BY5	15.98333/55.25000	Dinoflagellates	5.2457492
Oct	2012	BY5	15.98333/55.25000	Mesodinium	8.940180999999999
Oct	2012	BY5	15.98333/55.25000	Other	11.49063746
Nov	2012	BY5	15.98333/55.25000	Cyanobacteria	0.0181956
Nov	2012	BY5	15.98333/55.25000	Diatoms	8.818565313
Nov	2012	BY5	15.98333/55.25000	Dinoflagellates	1.4756419
Nov	2012	BY5	15.98333/55.25000	Mesodinium	8.349809
Nov	2012	BY5	15.98333/55.25000	Other	3.21699574
Jan	2013	BY5	15.98333/55.25000	Cyanobacteria	0.14585595
Jan	2013	BY5	15.98333/55.25000	Diatoms	0.086592
Jan	2013	BY5	15.98333/55.25000	Dinoflagellates	2.7060191
Jan	2013	BY5	15.98333/55.25000	Mesodinium	1.5070681
Jan	2013	BY5	15.98333/55.25000	Other	1.7890432
Feb	2013	BY5	15.98333/55.25000	Cyanobacteria	0.083565733
Feb	2013	BY5	15.98333/55.25000	Diatoms	0.5018452
Feb	2013	BY5	15.98333/55.25000	Dinoflagellates	0.168901
Feb	2013	BY5	15.98333/55.25000	Mesodinium	2.742093
Feb	2013	BY5	15.98333/55.25000	Other	3.14099625
Mar	2013	BY5	15.98333/55.25000	Cyanobacteria	0.13907730000000001
Mar	2013	BY5	15.98333/55.25000	Diatoms	0.37319026
Mar	2013	BY5	15.98333/55.25000	Dinoflagellates	3.1928566
Mar	2013	BY5	15.98333/55.25000	Mesodinium	4.5743438
Mar	2013	BY5	15.98333/55.25000	Other	2.46795387
Apr	2013	BY15	20.05000/57.33333	Cyanobacteria	0.0806202
Apr	2013	BY5	15.98333/55.25000	Cyanobacteria	0.11585142
Apr	2013	BY15	20.05000/57.33333	Diatoms	8.3534864
Apr	2013	BY5	15.98333/55.25000	Diatoms	34.4540597
Apr	2013	BY15	20.05000/57.33333	Dinoflagellates	5.0657227
Apr	2013	BY5	15.98333/55.25000	Dinoflagellates	9.192353
Apr	2013	BY15	20.05000/57.33333	Mesodinium	4.342291
Apr	2013	BY5	15.98333/55.25000	Mesodinium	10.490773
Apr	2013	BY15	20.05000/57.33333	Other	3.8904215
Apr	2013	BY5	15.98333/55.25000	Other	2.4424921
May	2013	BY15	20.05000/57.33333	Cyanobacteria	1.1229604499999999
May	2013	BY5	15.98333/55.25000	Cyanobacteria	1.97736875
May	2013	BY15	20.05000/57.33333	Diatoms	0.4328991
May	2013	BY5	15.98333/55.25000	Diatoms	0.6489524
May	2013	BY15	20.05000/57.33333	Dinoflagellates	23.0605405
May	2013	BY5	15.98333/55.25000	Dinoflagellates	14.5380704
May	2013	BY15	20.05000/57.33333	Mesodinium	27.121804
May	2013	BY5	15.98333/55.25000	Mesodinium	52.681077
May	2013	BY15	20.05000/57.33333	Other	5.653058
May	2013	BY5	15.98333/55.25000	Other	1.6641451
Jun	2013	BY15	20.05000/57.33333	Cyanobacteria	5.73737142
Jun	2013	BY5	15.98333/55.25000	Cyanobacteria	96.07267470000001
Jun	2013	BY15	20.05000/57.33333	Diatoms	0.0855121
Jun	2013	BY5	15.98333/55.25000	Diatoms	3.7699027
Jun	2013	BY15	20.05000/57.33333	Dinoflagellates	27.147551
Jun	2013	BY5	15.98333/55.25000	Dinoflagellates	12.0505
Jun	2013	BY15	20.05000/57.33333	Mesodinium	10.200437
Jun	2013	BY5	15.98333/55.25000	Mesodinium	10.111602
Jun	2013	BY15	20.05000/57.33333	Other	7.09663574
Jun	2013	BY5	15.98333/55.25000	Other	13.957616980000001
Jul	2013	BY15	20.05000/57.33333	Cyanobacteria	157.2386253
Jul	2013	BY15	20.05000/57.33333	Diatoms	0.0113345
Jul	2013	BY15	20.05000/57.33333	Dinoflagellates	32.438803
Jul	2013	BY15	20.05000/57.33333	Mesodinium	12.350196
Jul	2013	BY15	20.05000/57.33333	Other	15.2830613
Aug	2013	BY15	20.05000/57.33333	Cyanobacteria	9.30793
Aug	2013	BY5	15.98333/55.25000	Cyanobacteria	5.418309450000001
Aug	2013	BY15	20.05000/57.33333	Diatoms	0.56769
Aug	2013	BY5	15.98333/55.25000	Diatoms	2.97417991
Aug	2013	BY15	20.05000/57.33333	Dinoflagellates	6.6520649999999995
Aug	2013	BY5	15.98333/55.25000	Dinoflagellates	10.7373528
Aug	2013	BY15	20.05000/57.33333	Mesodinium	5.606453999999999
Aug	2013	BY5	15.98333/55.25000	Mesodinium	4.030191
Aug	2013	BY15	20.05000/57.33333	Other	14.3993276
Aug	2013	BY5	15.98333/55.25000	Other	18.4647999
Sep	2013	BY15	20.05000/57.33333	Cyanobacteria	5.4647611000000005
Sep	2013	BY5	15.98333/55.25000	Cyanobacteria	0.975032
Sep	2013	BY15	20.05000/57.33333	Diatoms	0.5762993
Sep	2013	BY5	15.98333/55.25000	Diatoms	1.832597
Sep	2013	BY15	20.05000/57.33333	Dinoflagellates	3.3404293000000003
Sep	2013	BY5	15.98333/55.25000	Dinoflagellates	2.925726
Sep	2013	BY15	20.05000/57.33333	Mesodinium	0.99478
Sep	2013	BY5	15.98333/55.25000	Mesodinium	2.463209
Sep	2013	BY15	20.05000/57.33333	Other	3.5441209000000002
Sep	2013	BY5	15.98333/55.25000	Other	23.7322333
Oct	2013	BY15	20.05000/57.33333	Cyanobacteria	1.45058066
Oct	2013	BY5	15.98333/55.25000	Cyanobacteria	0.280794
Oct	2013	BY15	20.05000/57.33333	Diatoms	18.8206914
Oct	2013	BY5	15.98333/55.25000	Diatoms	17.392114
Oct	2013	BY15	20.05000/57.33333	Dinoflagellates	0.68816600000000006
Oct	2013	BY5	15.98333/55.25000	Dinoflagellates	0.6638056
Oct	2013	BY15	20.05000/57.33333	Mesodinium	6.330881
Oct	2013	BY5	15.98333/55.25000	Mesodinium	2.0758203
Oct	2013	BY15	20.05000/57.33333	Other	4.7999726
Oct	2013	BY5	15.98333/55.25000	Other	11.9772
Nov	2013	BY15	20.05000/57.33333	Cyanobacteria	0.96104603
Nov	2013	BY5	15.98333/55.25000	Cyanobacteria	0.0485063
Nov	2013	BY15	20.05000/57.33333	Diatoms	19.638982
Nov	2013	BY5	15.98333/55.25000	Diatoms	46.382737
Nov	2013	BY15	20.05000/57.33333	Dinoflagellates	0.275266
Nov	2013	BY15	20.05000/57.33333	Mesodinium	8.11579
Nov	2013	BY5	15.98333/55.25000	Mesodinium	2.433039
Nov	2013	BY15	20.05000/57.33333	Other	5.15548025
Nov	2013	BY5	15.98333/55.25000	Other	2.1317279
Dec	2013	BY5	15.98333/55.25000	Diatoms	2.596243
Dec	2013	BY5	15.98333/55.25000	Dinoflagellates	0.168901
Dec	2013	BY5	15.98333/55.25000	Mesodinium	1.6707960000000002
Dec	2013	BY5	15.98333/55.25000	Other	1.4739357
Feb	2014	BY15	20.05000/57.33333	Cyanobacteria	0.00689226
Feb	2014	BY15	20.05000/57.33333	Diatoms	0.0879843
Feb	2014	BY5	15.98333/55.25000	Diatoms	2.0381774
Feb	2014	BY15	20.05000/57.33333	Dinoflagellates	0.0864943
Feb	2014	BY5	15.98333/55.25000	Dinoflagellates	0.0446124
Feb	2014	BY5	15.98333/55.25000	Mesodinium	2.189377
Feb	2014	BY15	20.05000/57.33333	Other	1.9571623
Feb	2014	BY5	15.98333/55.25000	Other	2.54628616
Mar	2014	BY15	20.05000/57.33333	Cyanobacteria	0.06477148499999999
Mar	2014	BY5	15.98333/55.25000	Cyanobacteria	0.00908426
